id,carpool,cars_per_driver,hhsize,commute,social
236551,TRUE,1.5,2,FALSE,FALSE
739449,FALSE,2,2,FALSE,FALSE
756734,FALSE,1,2,FALSE,FALSE
647502,FALSE,1,2,FALSE,FALSE
467439,TRUE,0.3333333333333333,4,FALSE,FALSE
89221,TRUE,1,6,FALSE,FALSE
634780,TRUE,1,9,FALSE,FALSE
423731,TRUE,0.5,2,FALSE,FALSE
569070,TRUE,1,4,FALSE,FALSE
576601,FALSE,1,2,FALSE,FALSE
758051,TRUE,1,3,FALSE,FALSE
498902,FALSE,1,2,FALSE,FALSE
720750,FALSE,1,1,FALSE,FALSE
633440,FALSE,1.5,2,TRUE,FALSE
2467,TRUE,1.5,4,FALSE,FALSE
227368,TRUE,2,2,FALSE,FALSE
357358,FALSE,0.5,2,FALSE,FALSE
435228,FALSE,1,2,FALSE,FALSE
608038,FALSE,1,1,FALSE,FALSE
541654,TRUE,1,4,FALSE,FALSE
487932,FALSE,1,4,FALSE,FALSE
689431,TRUE,2,1,FALSE,FALSE
342881,TRUE,1,4,FALSE,TRUE
448360,TRUE,1,2,FALSE,TRUE
126923,TRUE,1,3,FALSE,FALSE
28303,FALSE,1.3333333333333333,3,TRUE,FALSE
29866,TRUE,1,2,FALSE,FALSE
500240,FALSE,1,2,FALSE,FALSE
271664,FALSE,3.6666666666666665,3,FALSE,FALSE
15529,FALSE,2,1,FALSE,TRUE
673584,TRUE,1,4,FALSE,FALSE
634181,FALSE,1,1,FALSE,FALSE
365136,FALSE,1,1,FALSE,FALSE
34833,FALSE,2,2,FALSE,FALSE
189326,FALSE,1,3,TRUE,FALSE
83694,FALSE,1,4,FALSE,TRUE
316277,TRUE,1,2,FALSE,FALSE
376590,TRUE,0.5,4,FALSE,FALSE
681319,TRUE,2.5,2,FALSE,FALSE
399911,FALSE,1,2,FALSE,TRUE
684517,FALSE,1,1,FALSE,FALSE
73334,TRUE,0.5,2,FALSE,FALSE
763091,TRUE,2,2,FALSE,FALSE
782221,FALSE,1,1,FALSE,FALSE
630195,FALSE,0.6666666666666666,3,FALSE,FALSE
85601,FALSE,1,4,TRUE,FALSE
590555,FALSE,2,1,FALSE,FALSE
144585,TRUE,1,4,FALSE,FALSE
325988,TRUE,2,2,FALSE,FALSE
668914,TRUE,1,3,FALSE,FALSE
367990,TRUE,1,4,FALSE,FALSE
